Period ,initials,t0,t1,t2,t3,t4,t5,t9
Allan 5,ET,20.0,32.0,30.0,32.0,28.0,20.0,18.0
Allan 5,LT,15.0,28.0,32.0,28.0,40.0,18.0,16.0
Allan 5,TH,18.0,36.0,36.0,40.0,44.0,36.0,16.0
Allan 5,MK,20.0,24.0,32.0,24.0,28.0,20.0,16.0
Allan 5,,,,,,,,
Allan 5,,,,,,,,
Allan 5,,,,,,,,
Allan 5,,,,,,,,
Allan 5,,,,,,,,
Allan 5,,,,,,,,
Allan 5,,,,,,,,
Adams 6,LMP,20.0,40.0,44.0,48.0,42.0,28.0,24.0
Adams 6,CW,20.0,24.0,28.0,32.0,36.0,24.0,20.0
Adams 6,TN,14.0,48.0,48.0,48.0,48.0,44.0,12.0
Adams 6,MF,,,,,,,
Adams 6,JV,8.0,12.0,12.0,16.0,12.0,10.0,8.0
Adams 6,KPJ,12.0,16.0,12.0,16.0,12.0,12.0,12.0
Adams 6,AT,28.0,48.0,44.0,40.0,40.0,20.0,20.0
Adams 6,PDK,16.0,18.0,19.0,18.0,18.0,16.0,15.0
Adams 6,IKL,,,,,,,
Adams 6,TCK,12.0,12.0,12.0,12.0,12.0,8.0,8.0
Adams 6,NC,20.0,28.0,32.0,28.0,32.0,24.0,20.0
Adams 6,JSJ,24.0,40.0,44.0,44.0,40.0,32.0,40.0
Adams 6,AMM,20.0,32.0,36.0,40.0,32.0,24.0,20.0
Adams 6,MFC,20.0,28.0,32.0,32.0,32.0,28.0,24.0
Adams 6,,,,,,,,
Adams 6,,,,,,,,
Allan 6,CB,30.0,60.0,70.0,75.0,80.0,50.0,32.0
Allan 6,CA,30.0,28.0,56.0,48.0,50.0,40.0,30.0
Allan 6,TT,24.0,42.0,36.0,24.0,30.0,24.0,24.0
Allan 6,KW,23.0,24.0,24.0,36.0,42.0,24.0,18.0
Allan 6,AB,18.0,42.0,30.0,36.0,30.0,24.0,21.0
Allan 6,NCA,20.0,24.0,20.0,20.0,20.0,12.0,12.0
Allan 6,,,,,,,,
Allan 6,,,,,,,,
Allan 6,,,,,,,,
Allan 6,,,,,,,,
Allan 6,,,,,,,,
Allan 6,,,,,,,,
Allan 6,,,,,,,,
Allan 6,,,,,,,,
Allan 6,,,,,,,,
Allan 6,,,,,,,,
Ching 8,TM,,,,,,,
Ching 8,KC,,,,,,,
Ching 8,AS,24.0,52.0,48.0,80.0,88.0,60.0,48.0
Ching 8,PB,,,,,,,
Ching 8,BA,,,,,,,
Ching 8,AW,12.0,16.0,24.0,26.0,42.0,28.0,16.0
Ching 8,ZJ,12.0,18.0,23.0,35.0,46.0,36.0,16.0
Ching 8,TB,16.0,40.0,40.0,44.0,44.0,24.0,28.0
Ching 8,AH,,,,,,,
Ching 8,CAI,20.0,36.0,44.0,40.0,36.0,28.0,20.0
Ching 8,CI,19.0,25.0,28.0,33.0,39.0,35.0,23.0
Ching 8,NM,,,,,,,
Ching 8,AI,24.0,30.0,36.0,36.0,42.0,36.0,24.0
Ching 8,KS,,,,,,,
Ching 8,EA,15.0,18.0,21.0,24.0,26.0,18.0,15.0
Ching 8,,,,,,,,
Lee 8,AK,16.0,20.0,24.0,28.0,36.0,24.0,20.0
Lee 8,BJ,24.0,16.0,20.0,16.0,48.0,24.0,12.0
Lee 8,CPK,28.0,28.0,48.0,40.0,48.0,32.0,40.0
Lee 8,,,,,,,,
Lee 8,AS,16.0,36.0,24.0,,28.0,28.0,18.0
Lee 8,RK,20.0,24.0,24.0,28.0,32.0,24.0,24.0
Lee 8,,,,,,,,
Lee 8,SW,8.0,12.0,20.0,28.0,32.0,25.0,20.0
Lee 8,,,,,,,,
Lee 8,PC,8.0,24.0,28.0,30.0,36.0,24.0,26.0
Lee 8,,,,,,,,
Lee 8,IY,22.0,32.0,36.0,40.0,48.0,32.0,24.0
Lee 8,Ol,20.0,20.0,28.0,25.0,24.0,20.0,22.0
Lee 8,TH,12.0,48.0,72.0,96.0,80.0,76.0,60.0
Lee 8,,,,,,,,
Lee 8,KS,20.0,32.0,24.0,24.0,28.0,28.0,20.0
